plane,of,into,foot_r,shape_r,trace_r
A,4,A8,0.854934573173523,0.4618632543127434,-0.7913879477776895
A,8,A9,0.6044495105743408,-0.21861400087265734,-0.698662262761962
A,9,A6,0.8254159092903137,0.389769166869243,-0.8021957143036513
A,10,A4,0.8907525539398193,0.8597728119247572,0.7968896933996797
A,11,A11,0.6897230744361877,0.011378215002723579,-0.6843857205459002
B,7,B13,0.524800181388855,-0.2513460496275591,-0.25110317343051286
B,10,B9,0.8272914290428162,0.38954807787285867,-0.8246071169731862
B,14,B16,0.8449741005897522,0.3371539248173439,-0.8167813944647804
